order_id,customer_id,order_date,status,payment_method,shipping_address,billing_address,discount_amount,tax_amount,shipping_cost,total_amount,currency,created_at,updated_at,subtotal
19900521,431686,2025-07-14T20:13:44.798016,Processing,Digital Wallet,"6189 Carl Island Lake Wesleyborough, ME 95974","935 Martin Forks Apt. 744 North Matthew, MO 88986",0.0,602.21,48.2,6678.2,EUR,2025-07-14T20:13:44.798016,2025-07-17T20:13:44.798016,7084.799999999999
19900523,416256,2024-11-19T13:06:47.288541,Completed,PayPal,"340 Santos Port Claudiachester, NY 39949","573 Robinson Street Morganchester, WV 36767",0.0,538.63,15.4,6890.81,CAD,2024-11-19T13:06:47.288541,2024-11-19T13:06:47.288541,6336.78
19900561,482443,2025-03-04T01:34:18.321087,Returned,PayPal,"7456 Thomas Squares Apt. 760 New Lisa, MI 78854","98661 Amanda Haven Port James, KY 96584",0.0,1875.34,36.89,23927.22,USD,2025-03-04T01:34:18.321087,2025-03-05T01:34:18.321087,22062.85
19900589,476095,2025-06-15T01:03:30.139989,Completed,Digital Wallet,"07056 Hunter River Reneeview, PW 08435",Unit 7578 Box 4564 DPO AP 05703,0.0,645.01,17.06,8250.37,USD,2025-06-15T01:03:30.139989,2025-06-19T01:03:30.139989,7588.300000000001
19900593,444138,2023-11-08T13:16:50.651020,Completed,Bank Transfer,"14096 Robert Brooks West Carlosberg, MA 28686","067 Wilcox Motorway Carrborough, OH 05939",0.0,1757.08,20.94,21841.19,USD,2023-11-08T13:16:50.651020,2023-11-12T13:16:50.651020,20671.53
19900594,447906,2023-07-09T15:02:44.893030,Processing,Debit Card,"557 Alexa Spring Hollowayburgh, NJ 93785","73115 Lisa Canyon Lucasbury, AZ 47878",0.0,305.44,46.89,3945.76,USD,2023-07-09T15:02:44.893030,2023-07-16T15:02:44.893030,3593.43
19900604,432969,2024-11-18T15:32:29.710998,Processing,Digital Wallet,"42223 Olson Islands Apt. 067 South Robertfort, MN 30334","99122 Smith Extension Joshuaside, VT 15658",0.0,2219.87,49.86,26111.34,USD,2024-11-18T15:32:29.710998,2024-11-20T15:32:29.710998,26116.13
19900612,484303,2024-03-17T06:33:14.113175,Completed,Credit Card,"0868 Lisa Underpass East Michealview, DC 22540","7033 Singh Street Brownchester, SC 83303",0.0,940.2,37.45,11702.68,USD,2024-03-17T06:33:14.113175,2024-03-20T06:33:14.113175,11061.120000000004
19900636,458719,2025-06-02T20:37:16.168206,Completed,Cash on Delivery,"172 Mason Greens Apt. 744 Ellenborough, CA 49364","664 Branch Lock Suite 795 West Rachel, HI 77287",0.0,379.93,5.9,4769.62,USD,2025-06-02T20:37:16.168206,2025-06-04T20:37:16.168206,4469.82
19900642,405612,2025-05-02T17:55:41.172859,Completed,PayPal,"7664 Rivera Camp Port Jean, RI 30509",USS Armstrong FPO AP 57466,0.0,1338.7,23.96,17112.07,USD,2025-05-02T17:55:41.172859,2025-05-02T17:55:41.172859,15749.41
19900644,440659,2023-06-19T07:49:18.924623,Completed,Digital Wallet,"30751 Jones Trafficway Lake Tyler, NJ 19888","35524 Adriana Estates Suite 951 Lake Kaylafurt, CA 87893",0.0,1605.97,3.66,20503.37,EUR,2023-06-19T07:49:18.924623,2023-06-20T07:49:18.924623,18893.74
19900668,414077,2023-05-15T08:08:28.752600,Completed,Digital Wallet,"65242 Turner Shore Suite 994 Williamchester, WA 38305","7381 Miller Key Suite 751 Davisshire, IL 58808",0.0,1145.17,2.56,14353.2,EUR,2023-05-15T08:08:28.752600,2023-05-20T08:08:28.752600,13472.59
19900670,447426,2025-06-12T04:09:54.210687,Shipped,Credit Card,"60070 Thompson Roads Suite 977 Port Alisonside, NJ 15550","686 Ramirez Curve Karenport, NE 01183",0.0,781.06,35.15,9518.09,USD,2025-06-12T04:09:54.210687,2025-06-17T04:09:54.210687,9188.93
19900686,469232,2025-04-15T03:24:46.529095,Completed,Digital Wallet,"090 Tami Estate New Paulbury, NV 16944","976 Sims Flat Curryton, MO 69808",0.0,583.59,23.88,7287.47,USD,2025-04-15T03:24:46.529095,2025-04-21T03:24:46.529095,6865.82
19900687,450511,2023-04-16T07:49:13.724861,Completed,Bank Transfer,"072 Amanda Keys Jacobchester, NH 89186","0338 Mcdonald Lodge Suite 867 New Shawnborough, MT 31442",0.0,208.66,12.97,2669.88,GBP,2023-04-16T07:49:13.724861,2023-04-22T07:49:13.724861,2454.85
19900706,421230,2023-11-14T16:54:53.083756,Completed,Digital Wallet,"213 Campbell Harbor Port Vincent, IA 35474","887 Rebecca Island South Mary, TX 54147",52.26,1443.06,9.24,17602.97,EUR,2023-11-14T16:54:53.083756,2023-11-15T16:54:53.083756,16977.190000000002
19900713,433151,2023-07-05T20:05:54.333044,Completed,Cash on Delivery,"87337 Jacob Meadow Suite 153 New Christopher, VA 09768","2224 Atkinson Islands Suite 163 Tateborough, AR 34066",0.0,1103.69,1.0,12969.71,EUR,2023-07-05T20:05:54.333044,2023-07-05T20:05:54.333044,12984.579999999998
19900725,466137,2025-04-07T09:57:29.354005,Processing,Credit Card,"79953 Danielle Ford Hollyview, NH 61850","931 Rogers Glen Levineside, MT 13470",0.0,1399.13,28.58,16843.73,GBP,2025-04-07T09:57:29.354005,2025-04-08T09:57:29.354005,16460.39
19900757,497464,2025-01-27T01:56:12.257834,Completed,Debit Card,"43710 James Knolls Port Tiffanytown, HI 72395","16068 Richardson Crossing Joseshire, WA 70158",0.0,1145.27,14.28,13035.7,CAD,2025-01-27T01:56:12.257834,2025-01-28T01:56:12.257834,13473.72
19900772,406858,2024-03-24T19:17:41.935026,Completed,Cash on Delivery,"0311 Flores Parkway Suite 911 New Grace, ND 45698","44980 Tanya Crossing Lake Jessica, VA 09087",0.0,2479.65,23.52,31253.24,USD,2024-03-24T19:17:41.935026,2024-03-27T19:17:41.935026,29172.390000000003
19900784,416031,2025-04-16T10:45:36.441024,Completed,Cash on Delivery,"53854 English Alley Apt. 932 North Sophia, AL 39587","224 Murphy Roads Dylanland, AS 41424",0.0,3168.4,48.15,38412.31,USD,2025-04-16T10:45:36.441024,2025-04-23T10:45:36.441024,37275.280000000006
19900798,433256,2024-01-19T09:08:29.395031,Cancelled,Bank Transfer,"77782 Mendoza Union Nancyport, TN 31061","00112 Richards Wall Suite 534 Dianabury, CA 13021",0.0,1964.46,0.68,24458.2,USD,2024-01-19T09:08:29.395031,2024-01-22T09:08:29.395031,23111.35
19900810,477919,2023-08-30T03:45:10.934712,Completed,Credit Card,"6452 Cynthia Street Apt. 533 Goldenfurt, OK 27253","39516 Miles Heights Rodriguezborough, FL 59047",0.0,786.54,5.58,9967.01,EUR,2023-08-30T03:45:10.934712,2023-09-01T03:45:10.934712,9253.42
19900822,453291,2023-10-23T04:33:44.950435,Processing,Debit Card,"99236 Megan Lake Smithfurt, CA 32747","4275 Timothy Bridge Port Melanieburgh, TN 27627",75.75,770.15,45.18,9800.18,USD,2023-10-23T04:33:44.950435,2023-10-24T04:33:44.950435,9060.6
19900831,496859,2024-12-07T12:13:57.523738,Completed,Credit Card,"07457 Keller Village Kingside, FM 88297","2356 Teresa Park Apt. 352 Jessicahaven, AR 26546",0.0,1282.92,46.15,16422.28,USD,2024-12-07T12:13:57.523738,2024-12-07T12:13:57.523738,15093.21
19900882,480975,2023-08-29T23:58:31.939234,Completed,PayPal,"PSC 3699, Box 8477 APO AE 10706","739 Reynolds Underpass Apt. 775 Lake Colleenchester, WY 37824",0.0,2364.3,39.25,26105.63,USD,2023-08-29T23:58:31.939234,2023-08-31T23:58:31.939234,27815.35
19900905,450897,2025-03-22T23:48:26.927543,Completed,Bank Transfer,"91950 Randy Path Suite 295 Parsonsberg, DC 01762","125 Victor Place Lopezview, MD 81417",91.84,709.43,38.57,8566.69,USD,2025-03-22T23:48:26.927543,2025-03-22T23:48:26.927543,8346.18
19900908,446174,2024-09-26T08:04:33.307928,Completed,Debit Card,"1701 James Mountain Jonathanshire, IN 77889","677 Palmer Oval South Richardtown, OH 26452",0.0,952.58,32.02,11725.8,USD,2024-09-26T08:04:33.307928,2024-09-29T08:04:33.307928,11206.8
19900909,455333,2025-04-08T15:15:24.740570,Refunded,Digital Wallet,"17173 Moreno Mount Taylormouth, WI 87455","0030 Susan Pass Port Maryhaven, OR 87955",0.0,2007.24,0.41,24464.18,EUR,2025-04-08T15:15:24.740570,2025-04-08T15:15:24.740570,23614.63
19900916,498270,2024-07-30T12:28:09.666672,Completed,Bank Transfer,"PSC 4722, Box 2583 APO AP 84920","141 Simpson Greens Apt. 900 Evanhaven, NH 99374",0.0,171.42,2.42,2133.4,EUR,2024-07-30T12:28:09.666672,2024-07-30T12:28:09.666672,2016.73
19900927,401507,2023-03-15T17:49:10.631405,Completed,PayPal,"4098 Ashley Radial New Jerryfurt, PW 51272","0140 Lisa Road Apt. 905 South Maria, RI 99286",0.0,927.54,44.92,11884.68,USD,2023-03-15T17:49:10.631405,2023-03-16T17:49:10.631405,10912.22
19900929,438617,2024-10-03T17:22:18.487761,Processing,Credit Card,"9213 Dennis Drive West Kayla, CT 65514","231 Baker Shoals Maddenburgh, VA 77534",98.64,968.81,38.21,11729.97,CAD,2024-10-03T17:22:18.487761,2024-10-07T17:22:18.487761,11397.8
19900937,475421,2025-02-25T04:54:25.195628,Completed,Bank Transfer,"34781 Campbell Mills Port Leslieton, FM 79635","121 Gonzales Walk Suite 594 Brettshire, CT 76681",4.81,896.96,27.75,11472.32,USD,2025-02-25T04:54:25.195628,2025-03-02T04:54:25.195628,10552.42
19900950,490079,2025-06-28T06:45:56.904413,Completed,Cash on Delivery,Unit 5675 Box 1444 DPO AA 37121,"300 Grant Forge Suite 370 Andreahaven, ND 05606",0.0,1726.98,42.99,20455.15,USD,2025-06-28T06:45:56.904413,2025-06-28T06:45:56.904413,20317.4
19900963,448492,2025-05-23T10:06:19.988343,Completed,Debit Card,"750 Shannon Streets Suite 469 Lake Emily, FL 16703","3967 King Springs Suite 865 Williamport, NV 84844",0.0,1416.69,18.41,17943.41,USD,2025-05-23T10:06:19.988343,2025-05-26T10:06:19.988343,16666.98
19900978,421123,2024-11-17T17:30:35.025813,Completed,Debit Card,"1981 Montes Run Staceyberg, WA 06784","2543 Regina Circle Suite 998 Michaelland, ME 46564",40.72,298.15,34.18,3785.76,CAD,2024-11-17T17:30:35.025813,2024-11-20T17:30:35.025813,3507.6500000000005
19900980,440835,2023-09-29T21:43:28.040459,Shipped,Debit Card,"83751 John Glen Suite 247 Port Kristinside, FL 62831","63996 Ramirez Well Apt. 734 Acevedochester, AZ 92988",0.0,2724.98,30.29,33675.58,CAD,2023-09-29T21:43:28.040459,2023-10-02T21:43:28.040459,32058.63
19900982,490630,2024-05-25T13:55:04.334444,Completed,Cash on Delivery,"04490 Billy Camp Apt. 731 Lukemouth, MS 41664","141 Bennett Stream Apt. 918 Briggshaven, PA 62651",39.06,1912.56,40.68,24414.93,USD,2024-05-25T13:55:04.334444,2024-05-31T13:55:04.334444,22500.75
19900988,443232,2025-01-27T00:46:38.094607,Completed,Digital Wallet,"029 David Street Suite 042 Bensonmouth, WI 28414","68504 Diaz Stravenue Apt. 198 Elizabethport, KS 58681",0.0,2700.69,26.98,33733.39,CAD,2025-01-27T00:46:38.094607,2025-01-28T00:46:38.094607,31772.77
19900996,477520,2023-04-19T15:08:41.462068,Processing,Credit Card,"3730 Jackson Track Thomaston, CT 51355","8375 Yang Street Apt. 226 Port Josephland, OR 97588",58.7,1097.73,17.93,12866.97,USD,2023-04-19T15:08:41.462068,2023-04-25T15:08:41.462068,12914.46
19901008,426486,2025-06-18T13:19:15.824240,Completed,Digital Wallet,"94300 Robinson Canyon Suite 092 Petersonhaven, FL 40310","3241 Taylor Course Lake Michael, SD 59048",50.59,2311.21,14.6,29044.8,GBP,2025-06-18T13:19:15.824240,2025-06-19T13:19:15.824240,27190.660000000003
19901014,481070,2024-07-19T03:18:24.187012,Completed,Credit Card,"995 White Street New Michaelchester, ID 86103","5298 Jonathan Rest Hatfieldtown, AL 34079",0.0,1118.37,21.11,14296.73,USD,2024-07-19T03:18:24.187012,2024-07-26T03:18:24.187012,13157.25
19901037,441156,2024-04-18T04:56:24.081562,Completed,Credit Card,"040 Janice Camp Apt. 874 Lake Johnchester, DE 26966","64183 Clinton River Smithfurt, NE 14430",96.02,641.01,38.4,8124.72,GBP,2024-04-18T04:56:24.081562,2024-04-22T04:56:24.081562,7541.33
19901039,417469,2024-05-09T20:33:38.427445,Completed,Debit Card,"0886 Hill Shoals Suite 897 Joycemouth, NE 22661","8565 Sheena Roads Apt. 906 Joanmouth, KS 84535",0.0,325.31,33.51,4185.97,USD,2024-05-09T20:33:38.427445,2024-05-12T20:33:38.427445,3827.15
19901043,477926,2023-11-20T13:02:28.234126,Shipped,Credit Card,"086 Miller Manor Apt. 679 South Briannamouth, NC 48079","04538 Cobb Rapids Jeremyfurt, VA 33926",0.0,852.13,14.43,10872.64,USD,2023-11-20T13:02:28.234126,2023-11-24T13:02:28.234126,10025.11
19901048,471432,2025-03-14T14:15:31.643103,Processing,Credit Card,"922 Ashlee Field North Paulport, WI 01308","627 Jill Parkway Apt. 258 Fordview, OK 71393",0.0,193.4,21.55,2490.27,EUR,2025-03-14T14:15:31.643103,2025-03-19T14:15:31.643103,2275.32
19901057,490688,2024-10-15T03:51:08.669852,Refunded,Debit Card,"4185 Amanda Loop Apt. 766 South Francisco, FL 80802","0685 Castaneda Parks Lake Billborough, HI 92239",0.0,507.06,44.83,6517.34,CAD,2024-10-15T03:51:08.669852,2024-10-17T03:51:08.669852,5965.45
19901066,481614,2025-03-06T10:04:52.932607,Completed,Credit Card,Unit 0058 Box 0878 DPO AE 64777,"4334 Brewer Court Apt. 834 Grahamfort, VI 43821",43.82,1863.31,27.94,23557.97,EUR,2025-03-06T10:04:52.932607,2025-03-09T10:04:52.932607,21921.28
19901098,426300,2025-06-03T17:47:19.075834,Completed,PayPal,"8004 Roberts Plaza Apt. 865 Kristafort, MO 38599","191 James Branch Suite 341 Carolshire, WY 31218",0.0,1292.93,29.24,16533.08,EUR,2025-06-03T17:47:19.075834,2025-06-09T17:47:19.075834,15210.91
19901115,452812,2024-05-20T20:30:26.623558,Completed,Cash on Delivery,"92305 Garza Valley Meganborough, AS 47506",Unit 3129 Box 4953 DPO AP 25904,0.0,2718.3,41.28,34708.45,USD,2024-05-20T20:30:26.623558,2024-05-25T20:30:26.623558,31980.000000000004
19901117,462014,2024-09-27T13:01:25.641595,Completed,PayPal,Unit 7472 Box 0926 DPO AP 38425,"53019 Kevin Courts Robertside, WV 73583",0.0,1224.09,40.22,15665.42,USD,2024-09-27T13:01:25.641595,2024-10-01T13:01:25.641595,14401.11
19901134,423885,2025-03-19T04:32:15.384199,Completed,Credit Card,Unit 7611 Box 9641 DPO AP 87662,"038 Cabrera Tunnel Suite 993 Port Jerryfurt, MI 16210",0.0,792.72,33.81,9303.61,USD,2025-03-19T04:32:15.384199,2025-03-20T04:32:15.384199,9326.15
19901161,435896,2025-04-23T18:57:43.486140,Completed,Debit Card,"3697 Knox Station Carterburgh, OH 19885","658 Elizabeth Ports West Richard, HI 15116",33.44,1353.45,15.66,16882.91,USD,2025-04-23T18:57:43.486140,2025-04-28T18:57:43.486140,15922.9
19901201,493736,2022-12-09T13:15:12.315331,Completed,PayPal,"3861 Hall Springs Suite 508 South Tabitha, AK 27593","755 Carlson Ramp Suite 110 Castanedahaven, MH 18017",0.0,1668.31,21.57,21200.08,USD,2022-12-09T13:15:12.315331,2022-12-09T13:15:12.315331,19627.21
19901205,410330,2025-04-17T11:08:31.157708,Processing,PayPal,"364 Donald Squares Suite 892 Turnermouth, OK 20273","99746 Johnson Bridge Evansborough, CT 87276",0.0,609.0,9.37,7761.89,USD,2025-04-17T11:08:31.157708,2025-04-22T11:08:31.157708,7164.69
19901206,414857,2024-11-29T06:39:53.361759,Completed,Credit Card,"69182 Scott Island North Sarah, MP 07711","96239 Vaughn Orchard East Carla, MH 73963",0.0,1468.71,19.79,18767.49,USD,2024-11-29T06:39:53.361759,2024-12-06T06:39:53.361759,17278.989999999998
19901217,400524,2023-09-30T07:38:33.666124,Shipped,Credit Card,"6051 Cynthia Path Apt. 730 Jayfurt, LA 33425","22058 Bradley Port Jasonshire, WY 16948",0.0,2101.46,6.72,26771.6,USD,2023-09-30T07:38:33.666124,2023-10-04T07:38:33.666124,24723.08
19901236,467555,2025-03-14T12:16:39.542750,Completed,Digital Wallet,USCGC Ramos FPO AE 57505,"473 Larry Stream Parkerbury, UT 27646",0.0,193.72,39.82,2512.54,USD,2025-03-14T12:16:39.542750,2025-03-17T12:16:39.542750,2279.0
19901238,487664,2025-06-22T17:33:00.665902,Shipped,Debit Card,"691 Santana Island Apt. 070 Victoriaport, PA 54034","731 Cummings Mews Suite 409 East Pamelaberg, NH 85233",0.0,2113.89,29.97,26284.23,EUR,2025-06-22T17:33:00.665902,2025-06-26T17:33:00.665902,24869.24
19901241,492438,2025-05-16T09:47:18.968990,Completed,Bank Transfer,"633 Mary Ridges Belindaton, FM 97123","20539 Jessica Trafficway Suite 061 Perkinsfurt, LA 08322",0.0,445.25,13.83,5550.43,GBP,2025-05-16T09:47:18.968990,2025-05-19T09:47:18.968990,5238.23
19901247,407450,2024-12-01T06:05:34.644784,Completed,Debit Card,"5556 Denise Corner East Craig, IA 90774","528 Ross Cliff Keithburgh, ME 20873",0.0,2276.95,16.69,28236.78,EUR,2024-12-01T06:05:34.644784,2024-12-02T06:05:34.644784,26787.67
19901274,469778,2023-12-10T20:05:28.169140,Completed,Digital Wallet,USS Pineda FPO AA 31779,"PSC 9536, Box 5366 APO AA 38089",94.5,2544.09,16.06,32396.17,EUR,2023-12-10T20:05:28.169140,2023-12-11T20:05:28.169140,29930.52
19901282,421288,2024-11-24T08:42:09.405320,Completed,Cash on Delivery,"71278 Williams Path Suite 525 East Tracytown, PR 95928","185 Sanchez Lodge Apt. 770 East Yolanda, MT 40750",0.0,2947.41,18.91,36848.65,USD,2024-11-24T08:42:09.405320,2024-12-01T08:42:09.405320,34675.37
19901284,404391,2024-04-24T18:35:32.435857,Completed,Cash on Delivery,"698 David Rest Bartlettside, MH 46668","6137 Jennifer Union South Andrea, AS 22514",0.0,2326.01,40.67,28060.55,EUR,2024-04-24T18:35:32.435857,2024-04-25T18:35:32.435857,27364.870000000003
19901290,478344,2023-09-07T18:18:42.012672,Completed,Bank Transfer,"5925 Christine Field Rodriguezburgh, SD 83583","825 James Pines West Albertshire, NM 18388",34.74,728.22,46.98,9243.96,USD,2023-09-07T18:18:42.012672,2023-09-10T18:18:42.012672,8567.24
19901307,485690,2025-01-31T23:31:38.771607,Completed,Bank Transfer,"7931 Schultz Cliff Suite 733 Lake Jason, GA 03577","63232 Joseph Knolls New Erin, MD 81138",85.51,1338.38,1.94,16297.06,USD,2025-01-31T23:31:38.771607,2025-02-04T23:31:38.771607,15745.69
19901312,495836,2024-07-28T10:55:32.578281,Completed,Bank Transfer,"7692 Shannon Ridges Staffordborough, PA 37766","2095 Anderson Mission Craigshire, IA 38823",0.0,842.74,21.18,10760.13,USD,2024-07-28T10:55:32.578281,2024-07-29T10:55:32.578281,9914.62
19901328,448411,2025-07-05T01:25:39.618015,Completed,Digital Wallet,"113 Melissa Bypass Christophershire, VA 11765","378 Amber Hills Waynestad, NY 08132",0.0,1630.98,27.42,20846.35,USD,2025-07-05T01:25:39.618015,2025-07-11T01:25:39.618015,19187.95
19901336,427399,2024-03-31T22:32:59.284444,Processing,PayPal,"4634 Danny Prairie Suite 855 Davisland, NY 40073","90437 Walker Run Apt. 716 New Jeffreymouth, MO 39654",0.0,671.6,24.66,8220.05,USD,2024-03-31T22:32:59.284444,2024-04-03T22:32:59.284444,7901.13
19901339,489384,2025-05-12T00:48:53.181585,Completed,Debit Card,"18664 Victoria Skyway West Seanview, VA 08035","98292 Kelly Land Suite 915 South Melissa, RI 93094",0.0,1627.36,18.3,20465.1,USD,2025-05-12T00:48:53.181585,2025-05-12T00:48:53.181585,19145.46
19901348,423846,2023-11-17T03:03:41.466483,Completed,Cash on Delivery,Unit 8556 Box 4056 DPO AA 56245,"31433 Caldwell Tunnel Suite 146 Port Patricia, MD 25426",38.13,1415.22,29.92,16205.37,EUR,2023-11-17T03:03:41.466483,2023-11-24T03:03:41.466483,16649.670000000002
19901354,454883,2023-03-24T01:59:16.586605,Completed,Credit Card,"1524 Paul Estates Suite 975 Lake Lauramouth, VA 46018","7302 James Ports Suite 624 West Robert, VA 19499",0.0,244.57,5.27,3127.16,EUR,2023-03-24T01:59:16.586605,2023-03-26T01:59:16.586605,2877.32
19901377,467965,2024-09-10T18:08:10.633083,Completed,Credit Card,USNV Cross FPO AA 28304,"5884 Schultz Fields Lake Stephenbury, MO 91412",0.0,264.19,20.56,3392.83,GBP,2024-09-10T18:08:10.633083,2024-09-16T18:08:10.633083,3108.08
19901385,439415,2025-06-28T11:44:09.655065,Completed,Debit Card,"2328 Sarah Courts Pearsonmouth, NY 13046","787 Jordan Village Suite 545 Melvinton, VI 31123",0.0,2407.97,49.31,28602.81,EUR,2025-06-28T11:44:09.655065,2025-07-01T11:44:09.655065,28329.05
19901399,488110,2025-05-24T11:48:34.458930,Shipped,Digital Wallet,Unit 0788 Box 9940 DPO AE 07034,"322 Hart Trafficway Howardview, HI 26780",0.0,854.78,5.26,10876.44,EUR,2025-05-24T11:48:34.458930,2025-05-26T11:48:34.458930,10056.2
19901429,419797,2025-07-13T10:33:58.183888,Cancelled,Bank Transfer,"PSC 3045, Box 1168 APO AP 02585","194 Rodriguez Keys Apt. 163 West Adriana, OK 26495",0.0,760.77,24.15,9735.1,USD,2025-07-13T10:33:58.183888,2025-07-16T10:33:58.183888,8950.18
19901430,414465,2025-04-29T15:17:01.308389,Processing,Digital Wallet,"74112 Rose Port South Kimtown, AL 08603","3316 Wendy Forges Apt. 739 Lake Levi, GA 61497",0.0,1587.08,18.79,20277.42,USD,2025-04-29T15:17:01.308389,2025-04-30T15:17:01.308389,18671.55
